"id","month","day","year","description","amount","category","account","debit_or_credit","original_description","note","date"
"00000145717d41aa1b3a8713001000f300940076","3","6","2014","Gold's Gym","27.78","Gym","CREDIT CARD","debit",,"","2014.03.06"
"00000145717d41aa1b3a8714001000f300940076","3","6","2014","Chevron","41.87","Gas & Fuel","CREDIT CARD","debit",,"","2014.03.06"
"00000145717d41aa1b3a8715001000f300940076","3","4","2014","Online Creditonline Utah 196 Nw State Road","186.45","Income","REGULAR SHARE","credit",,"","2014.03.04"
"00000145717d41aa1b3a8716001000f300940076","3","4","2014","Wal-Mart","49.73","Shopping","Discover :","debit",,"","2014.03.04"
"00000145717d41aa1b3a8717001000f300940076","3","4","2014","Chevron","47.44","Gas & Fuel","Discover :","debit",,"","2014.03.04"
"00000145717d41aa1b3a8718001000f300940076","3","3","2014","American Fork Di","13.0","Clothing","Discover :","debit",,"","2014.03.03"
"00000145717d41aa1b3a8719001000f300940076","3","3","2014","Fresh Mkt Am","19.89","Groceries","CREDIT CARD","debit",,"","2014.03.03"
"00000145717d41aa1b3a871a001000f300940076","3","3","2014","Fedloanservicingach Transactionautomatic","0.25","Student Loan","SHARE DRAFT NO MIN","debit",,"","2014.03.03"
"00000145717d41aa1b3a871b001000f300940076","3","3","2014","Venmoautomatic","100.0","Mobile Phone","SHARE DRAFT NO MIN","debit",,"","2014.03.03"
"00000145717d41aa1b3a871c001000f300940076","3","3","2014","Venmoautomatic","8.0","Restaurants","SHARE DRAFT NO MIN","debit",,"","2014.03.03"
"00000145717d41aa1b3a871d001000f300940076","3","3","2014","Netflix","7.99","Movies & DVDs","SHARE DRAFT NO MIN","debit",,"","2014.03.03"
"00000145717d41aa1b3a871e001000f300940076","3","3","2014","Chaseautomatic","230.0","Credit Card Payment","SHARE DRAFT NO MIN","debit",,"","2014.03.03"
"00000145717d41ab32cdb3a3001000f300940076","3","2","2014","Fresh Mkt Am","13.07","Groceries","CREDIT CARD","debit",,"","2014.03.02"
"00000145717d41ab32cdb3a4001000f300940076","2","28","2014","Transfer from SHARE DRAFT NO MIN","230.0","Credit Card Payment","CREDIT CARD","credit",,"","2014.02.28"
"00000145717d41ab32cdb3a5001000f300940076","2","28","2014","Zerochaos Payropayroll Deduction","826.81","Paycheck","SHARE DRAFT NO MIN","credit",,"","2014.02.28"
"00000145717d41ab32cdb3a6001000f300940076","2","28","2014","Total Bond Mkt Index Inv - Dividend","0.61","Dividend & Cap Gains","Vanguard Account","credit",,"","2014.02.28"
"00000145717d41ab32cdb3a7001000f300940076","2","25","2014","Payrollpayroll Crown H","1614.78","Paycheck","REGULAR SHARE","credit",,"","2014.02.25"
"00000145717d41ab32cdb3a8001000f300940076","2","25","2014","Check# 1140check# 1140 #1140","1002.27","Andrea Tithing","Free Checking","debit",,"","2014.02.25"
"00000145717d41ab32cdb3a9001000f300940076","2","24","2014","Fedloanservicingach Transactionautomatic","684.94","Student Loan","SHARE DRAFT NO MIN","debit",,"","2014.02.24"
"00000145717d41ab32cdb3aa001000f300940076","2","24","2014","Chaseautomatic","227.46","Credit Card Payment","SHARE DRAFT NO MIN","debit",,"","2014.02.24"
"00000145717d41ab32cdb3ab001000f300940076","2","23","2014","Peak Ent Associate","40.0","Doctor","CREDIT CARD","debit",,"","2014.02.23"
"00000145717d41ab32cdb3ac001000f300940076","2","23","2014","Sizzler","21.55","Restaurants","CREDIT CARD","debit",,"","2014.02.23"
"00000145717d41ab32cdb3ad001000f300940076","2","23","2014","City","74.29","Utilities","CREDIT CARD","debit",,"","2014.02.23"
"00000145717d41ab32cdb3ae001000f300940076","2","23","2014","City","94.16","Utilities","CREDIT CARD","debit",,"","2014.02.23"
"00000145717d41ab32cdb3af001000f300940076","2","21","2014","Transfer from SHARE DRAFT NO MIN","227.46","Credit Card Payment","CREDIT CARD","credit",,"","2014.02.21"
"00000145717d41ab32cdb3b0001000f300940076","2","21","2014","Zerochaos Payropayroll Deduction","1001.39","Paycheck","SHARE DRAFT NO MIN","credit",,"","2014.02.21"
"00000145717d41ab32cdb3b1001000f300940076","2","21","2014","Payment","684.94","Loan Payment","Direct Sub Stafford Loan","credit",,"","2014.02.21"
"00000145717d41ab32cdb3b2001000f300940076","2","20","2014","Chevron","41.07","Gas & Fuel","Discover :","debit",,"","2014.02.20"
"00000145717d41ab32cdb3b3001000f300940076","2","20","2014","Ihc Idxautomatic","11.0","Doctor","SHARE DRAFT NO MIN","debit",,"","2014.02.20"
"00000145717d41ab32cdb3b4001000f300940076","2","19","2014","Check 1127","615.46","Marc Tithing","SHARE DRAFT NO MIN","debit",,"","2014.02.19"
"00000145717d41ab32cdb3b5001000f300940076","2","19","2014","Transfer to Free Checking","1000.0","Transfer","REGULAR SHARE","debit",,"","2014.02.19"
"00000145717d41ab32cdb3b6001000f300940076","2","19","2014","Transfer from REGULAR SHARE","1000.0","Transfer","Free Checking","credit",,"","2014.02.19"
"00000145717d41ab32cdb3b7001000f300940076","2","19","2014","Buffalo Wild Wings","23.32","Restaurants","CREDIT CARD","debit",,"","2014.02.19"
"00000145717d41ab32cdb3b8001000f300940076","2","19","2014","Holiday Oil","2.11","Gas & Fuel","CREDIT CARD","debit",,"","2014.02.19"
"00000145717d41ab32cdb3b9001000f300940076","2","19","2014","Rockymtn Pacificautomatic","29.17","Utilities","SHARE DRAFT NO MIN","debit",,"","2014.02.19"
"00000145717d41ab32cdb3ba001000f300940076","2","19","2014","Fedloanservicingach Transactionautomatic","750.27","Student Loan","SHARE DRAFT NO MIN","debit",,"","2014.02.19"
"00000145717d41ab32cdb3bb001000f300940076","2","18","2014","Target","6.07","Shopping","Discover :","debit",,"","2014.02.18"
"00000145717d41ab32cdb3bc001000f300940076","2","17","2014","Payment","750.0","Loan Payment","Direct Sub Stafford Loan","credit",,"","2014.02.17"
"00000145717d41ab32cdb3bd001000f300940076","2","16","2014","Chipotle","7.17","Fast Food","CREDIT CARD","debit",,"","2014.02.16"
"00000145717d41ab32cdb3be001000f300940076","2","16","2014","Wal-Mart","4.55","Shopping","CREDIT CARD","debit",,"","2014.02.16"
"00000145717d41ab32cdb3bf001000f300940076","2","16","2014","Smith's Food","5.76","Groceries","CREDIT CARD","debit",,"","2014.02.16"
"00000145717d41ab32cdb3c0001000f300940076","2","14","2014","Zerochaos Payropayroll Deduction","1050.49","Paycheck","SHARE DRAFT NO MIN","credit",,"","2014.02.14"
"00000145717d41ab32cdb3c1001000f300940076","2","13","2014","Venmo Cashopayroll Deduction","12.5","Paycheck","SHARE DRAFT NO MIN","credit",,"","2014.02.13"
"00000145717d41ab32cdb3c2001000f300940076","2","13","2014","Chevron","39.92","Gas & Fuel","Discover :","debit",,"","2014.02.13"
"00000145717d41ab32cdb3c3001000f300940076","2","13","2014","Cinemark","25.0","Movies & DVDs","CREDIT CARD","debit",,"","2014.02.13"
"00000145717d41ab32cdb3c4001000f300940076","2","12","2014","Bear River Mutuainsurance","22.84","Auto Insurance","SHARE DRAFT NO MIN","debit",,"","2014.02.12"
"00000145717d41ab32cdb3c5001000f300940076","2","12","2014","Sushi House Llc","15.03","Restaurants","CREDIT CARD","debit",,"","2014.02.12"
"00000145717d41ab32cdb3c6001000f300940076","2","12","2014","Loan Pmtloan Roundpoint","2354.78","Mortgage & Rent","Free Checking","debit",,"","2014.02.12"
"00000145717d41ab32cdb3c7001000f300940076","2","12","2014","E Paymente Discover","407.16","Credit Card Payment","Free Checking","debit",,"","2014.02.12"
"00000145717d41ab32cdb3c8001000f300940076","2","11","2014","Fedloanservicingach Transactionautomatic","369.39","Student Loan","SHARE DRAFT NO MIN","debit",,"","2014.02.11"
"00000145717d41ab32cdb3c9001000f300940076","2","11","2014","Transfer from Free Checking","407.16","Credit Card Payment","Discover :","credit",,"","2014.02.11"
"00000145717d41ab32cdb3ca001000f300940076","2","11","2014","Chevron","47.8","Gas & Fuel","CREDIT CARD","debit",,"","2014.02.11"
"00000145717d41ab32cdb3cb001000f300940076","2","11","2014","IHOP","5.0","Restaurants","CREDIT CARD","debit",,"","2014.02.11"
"00000145717d41ab32cdb3cc001000f300940076","2","10","2014","Transfer to Free Checking","2500.0","Transfer","REGULAR SHARE","debit",,"","2014.02.10"
"00000145717d41ab32cdb3cd001000f300940076","2","10","2014","Transfer from REGULAR SHARE","2500.0","Transfer","Free Checking","credit",,"","2014.02.10"
"00000145717d41ab32cdb3ce001000f300940076","2","10","2014","Chaseautomatic","154.58","Credit Card Payment","SHARE DRAFT NO MIN","debit",,"","2014.02.10"
"00000145717d41ab32cdb3cf001000f300940076","2","10","2014","Questar Gas","82.99","Utilities","SHARE DRAFT NO MIN","debit",,"","2014.02.10"
"00000145717d41ab32cdb3d0001000f300940076","2","10","2014","Payrollpayroll Crown H","1644.02","Paycheck","REGULAR SHARE","credit",,"","2014.02.10"
"00000145717d41ab32cdb3d1001000f300940076","2","10","2014","WinCo Foods","91.43","Groceries","Free Checking","debit",,"","2014.02.10"
"00000145717d41ab32cdb3d2001000f300940076","2","9","2014","Selecthealth","91.72","Health Insurance","CREDIT CARD","debit",,"","2014.02.09"
"00000145717d41ab32cdb3d3001000f300940076","2","8","2014","American Fork Di","2.25","Furnishings","Discover :","debit",,"","2014.02.08"
"00000145717d41ab32cdb3d4001000f300940076","2","8","2014","Fresh Mkt Am","13.76","Groceries","Discover :","debit",,"","2014.02.08"
"00000145717d41ab32cdb3d5001000f300940076","2","8","2014","Costco","116.29","Groceries","Free Checking","debit",,"","2014.02.08"
"00000145717d41ab32cdb3d6001000f300940076","2","8","2014","Online Creditonline Utah 196 Nw State Road","83.6","Income","Free Checking","credit",,"","2014.02.08"
"00000145717d41ab32cdb3d7001000f300940076","2","8","2014","Online Creditonline Utah 196 Nw State Road","185.55","Income","Free Checking","credit",,"","2014.02.08"
"00000145717d41ab32cdb3d8001000f300940076","2","7","2014","Good Earth","14.99","Restaurants","Discover :","debit",,"","2014.02.07"
"00000145717d41accf290932001000f300940076","2","7","2014","Transfer from SHARE DRAFT NO MIN","154.58","Credit Card Payment","CREDIT CARD","credit",,"","2014.02.07"
"00000145717d41accf290933001000f300940076","2","7","2014","Questar Gas","82.99","Utilities","SHARE DRAFT NO MIN","debit",,"","2014.02.07"
"00000145717d41accf290934001000f300940076","2","7","2014","Zerochaos Payropayroll Deduction","1001.39","Paycheck","SHARE DRAFT NO MIN","credit",,"","2014.02.07"
"00000145717d41accf290935001000f300940076","2","7","2014","Payment","369.39","Loan Payment","Direct Unsub Stafford Loan","credit",,"","2014.02.07"
"00000145717d41accf290936001000f300940076","2","6","2014","Gold's Gym","27.78","Gym","CREDIT CARD","debit",,"","2014.02.06"
"00000145717d41accf290937001000f300940076","2","6","2014","Fresh Mkt Am","9.77","Groceries","CREDIT CARD","debit",,"","2014.02.06"
"00000145717d41accf290938001000f300940076","2","5","2014","UPS","9.76","Shipping","Discover :","debit",,"","2014.02.05"
"00000145717d41accf290939001000f300940076","2","5","2014","Fresh Mkt Am","18.29","Groceries","CREDIT CARD","debit",,"","2014.02.05"
"00000145717d41accf29093a001000f300940076","2","5","2014","Home Depot","65.08","Home Improvement","CREDIT CARD","debit",,"","2014.02.05"
"00000145717d41accf29093b001000f300940076","2","4","2014","Fedloanservicingach Transactionautomatic","1104.31","Student Loan","SHARE DRAFT NO MIN","debit",,"","2014.02.04"
"00000145717d41accf29093c001000f300940076","2","3","2014","Home Depot","10.66","Home Improvement","CREDIT CARD","debit",,"","2014.02.03"
"00000145717d41accf29093d001000f300940076","2","3","2014","Texas Roadhouse","15.0","Restaurants","CREDIT CARD","debit",,"","2014.02.03"
"00000145717d41accf29093e001000f300940076","2","3","2014","Transfer to CREDIT CARD","704.6","Credit Card Payment","SHARE DRAFT NO MIN","debit",,"","2014.02.03"
"00000145717d41accf29093f001000f300940076","2","3","2014","Netflix","7.99","Movies & DVDs","SHARE DRAFT NO MIN","debit",,"","2014.02.03"
"00000145717d41accf290940001000f300940076","2","3","2014","Payment","1104.31","Loan Payment","Direct Unsub Stafford Loan","credit",,"","2014.02.03"
"00000145717d41accf290941001000f300940076","2","2","2014","Transfer from SHARE DRAFT NO MIN","704.6","Credit Card Payment","CREDIT CARD","credit",,"","2014.02.02"
"00000145717d41accf290942001000f300940076","2","2","2014","North Pointe Swssd","8.0","Utilities","CREDIT CARD","debit",,"","2014.02.02"
"00000145717d41accf290943001000f300940076","2","1","2014","Holiday Oil","38.5","Gas & Fuel","Discover :","debit",,"","2014.02.01"
